Fecha,Departamento,Provincia,Distrito,Condición ,Producto,LATITUD,LONGITUD,Zona horaria
7/22/24 15:06,TUMBES,TUMBES,PAMPAS DE HOSPITAL,Negativo,Banano,-3.6911498156934255,-80.44268853867948,17
7/17/24 14:43,PIURA,PIURA,PIURA,Negativo ,Banano,-5.037357521628207,-80.62012234487275,17
7/17/24 14:44,PIURA,PIURA,TAMBO GRANDE,Negativo ,Banano,-4.830921988402511,-80.323631695544,17
7/17/24 14:41,PIURA,MORROPON,BUENOS AIRES,Negativo ,Banano,-5.274085089993788,-79.93607539536876,17
7/17/24 14:42,PIURA,MORROPON,BUENOS AIRES,Negativo ,Banano,-5.27306406142684,-79.94199632331059,17
7/17/24 14:43,PIURA,MORROPON,BUENOS AIRES,Negativo ,Banano,-5.2730551355551505,-79.93676290830747,17
7/17/24 12:46,PASCO,OXAPAMPA,VILLA RICA,Negativo,Banano,-10.791215470883785,-75.287969956278,18
7/19/24 16:45,SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,Negativo,Banano,-6.027866198663831,-77.28756607256436,18
7/19/24 16:47,SAN MARTIN,RIOJA,AWAJUN,Negativo,Plátano,-5.784341404848785,-77.39665346061672,18
7/17/24 12:54,ICA,CHINCHA,TAMBO DE MORA,Negativo,Banano,-13.450947625288729,-76.17577009499394,18
7/18/24 17:41,LORETO,MAYNAS,FERNANDO LORES,Negativo,Plátano,-3.9448594776593424,-73.1524920486582,18
7/18/24 17:41,LORETO,MAYNAS,BELEN,Negativo,Plátano,-3.699465803321485,-73.21110883872994,18
7/18/24 17:42,LORETO,MAYNAS,BELEN,Negativo,Plátano,-3.693062939972431,-73.21521710419512,18
7/18/24 17:08,LORETO,MAYNAS,SAN JUAN BAUTISTA,Negativo,Plátano,-3.85634460925008,-73.37750534352585,18
7/18/24 17:14,LORETO,MAYNAS,SAN JUAN BAUTISTA,Negativo,Plátano,-3.8564653571181045,-73.37917074488055,18
7/18/24 17:14,LORETO,MAYNAS,BELEN,Negativo,Plátano,-3.682168151163803,-73.21595890650062,18
7/18/24 17:13,LORETO,MAYNAS,BELEN,Negativo,Plátano,-3.6838874469640053,-73.21206710959142,18
7/18/24 17:09,LORETO,MAYNAS,SAN JUAN BAUTISTA,Negativo,Plátano,-4.119546785042633,-73.44899535235882,18
7/18/24 17:11,LORETO,MAYNAS,SAN JUAN BAUTISTA,Negativo,Plátano,-4.0860118887682155,-73.44825849702038,18
7/19/24 16:57,SAN MARTIN,LAMAS,SHANAO,Negativo,Plátano,-6.41686874591745,-76.60955023265709,18
7/18/24 17:12,LORETO,MAYNAS,BELEN,Negativo,Plátano,-3.6972466810968485,-73.21375057887491,18
7/18/24 17:43,UCAYALI,ATALAYA,RAYMONDI,Negativo,Banano / Platano,-10.708227847800027,-73.72865596878292,18
7/18/24 17:43,UCAYALI,ATALAYA,RAYMONDI,Negativo,Banano / Platano,-10.692618953576376,-73.74149293561425,18
7/18/24 18:17,PIURA,SULLANA,QUERECOTILLO,Positivo ,Banano,-4.831938648662263,-80.65145183626547,17
7/18/24 18:18,PIURA,SULLANA,MARCAVELICA,Positivo ,Banano,-4.877902861380702,-80.75078235353872,17
7/18/24 18:23,PIURA,SULLANA,MARCAVELICA,Positivo ,Banano,-4.87859103439237,-80.7524957327884,17
7/18/24 18:16,PIURA,PAITA,LA HUACA,Positivo ,Banano,-4.916047832938951,-80.85952722070188,17
7/18/24 18:14,PIURA,SULLANA,SULLANA,Positivo ,Banano,-4.835593027104517,-80.61717083457557,17
7/19/24 15:17,AMAZONAS,BONGARA,JAZAN,Negativo,Banano,-5.921112643136076,-77.97989500598189,18
7/18/24 18:17,PIURA,SULLANA,SULLANA,Positivo ,Banano,-4.826090917218962,-80.61133230276035,17
7/18/24 18:19,PIURA,SULLANA,SULLANA,Positivo ,Banano,-4.801363717557884,-80.59038858270372,17
7/24/24 16:38,PIURA,PAITA,LA HUACA,Positivo ,Banano,-4.915713655931994,-80.86215201648987,17
7/18/24 18:24,PIURA,PAITA,LA HUACA,Negativo ,Banano,-4.9167182161402705,-80.86402790562897,17
7/18/24 12:52,LA LIBERTAD,CHEPEN,PACANGA,Negativo,Banano,-7.103711162174572,-79.29342715889804,17
7/18/24 12:53,LA LIBERTAD,CHEPEN,PACANGA,Negativo,Banano,-7.103588355583598,-79.25316527314156,17
7/18/24 12:49,PASCO,OXAPAMPA,OXAPAMPA,Negativo,Banano,-10.763996983354238,-75.34597865054499,18
7/18/24 12:50,PASCO,OXAPAMPA,VILLA RICA,Negativo,Plátano,-10.777392511914265,-75.33650861686151,18
7/19/24 17:00,LORETO,MAYNAS,SAN JUAN BAUTISTA,Negativo,Plátano,-4.2466876790361825,-73.47513892718293,18
7/22/24 15:38,CUSCO,LA CONVENCION,ECHARATE,Negativo,Banano,-12.637215144701726,-72.70393395009512,18
7/22/24 15:37,CUSCO,LA CONVENCION,ECHARATE,Negativo,Banano,-12.64318537712101,-72.71306409628137,18
7/19/24 17:25,AMAZONAS,BAGUA,COPALLIN,Negativo,Banano,-5.666496215831202,-78.46956722050629,17
7/22/24 16:01,AMAZONAS,BAGUA,COPALLIN,Negativo,Banano,-5.666709402249869,-78.47078424807208,17
7/22/24 16:08,AMAZONAS,UTCUBAMBA,CAJARURO,Negativo,Banano,-5.704532678928102,-78.37211517497052,17
7/22/24 16:02,AMAZONAS,UTCUBAMBA,CAJARURO,Negativo,Banano,-5.707773847335926,-78.37340857822666,17
7/24/24 14:30,CUSCO,LA CONVENCION,UNION ASHANINKA,Negativo,Banano / Platano,-12.264558287228024,-73.96317684751511,18
7/25/24 16:55,SAN MARTIN,EL DORADO,SAN JOSE DE SISA,Negativo,Plátano,-6.654703790447362,-76.7157047199838,18
7/25/24 16:59,SAN MARTIN,EL DORADO,SAN JOSE DE SISA,Negativo,Plátano,-6.654703790447362,-76.7157047199838,18
7/25/24 16:48,SAN MARTIN,PICOTA,TRES UNIDOS,Negativo,Banano / Platano,-6.802057715852897,-76.24083564958839,18
7/25/24 16:49,SAN MARTIN,PICOTA,TRES UNIDOS,Negativo,Banano / Platano,-6.802205317232753,-76.23970503410733,18
7/25/24 12:23,SAN MARTIN,BELLAVISTA,BELLAVISTA,Negativo,Banano / Platano,-6.931046366688121,-76.64710035230046,18
7/25/24 12:25,SAN MARTIN,BELLAVISTA,BELLAVISTA,Negativo,Banano / Platano,-6.930419370685416,-76.64014868778912,18
7/24/24 14:04,UCAYALI,CORONEL PORTILLO,IPARIA,Negativo,Banano / Platano,-9.428482629816228,-74.36935996672372,18
7/24/24 14:13,UCAYALI,CORONEL PORTILLO,MANANTAY,Negativo,Banano / Platano,-8.532327010645542,-74.34144056132503,18
7/24/24 14:16,UCAYALI,CORONEL PORTILLO,MANANTAY,Negativo,Banano / Platano,-8.540736240238527,-74.36164314776639,18
7/24/24 12:57,UCAYALI,PADRE ABAD,IRAZOLA,Negativo,Banano / Platano,-8.776169917796858,-75.19736149502238,18
7/24/24 12:54,UCAYALI,PADRE ABAD,IRAZOLA,Negativo,Banano / Platano,-8.882454384801338,-75.25050574396248,18
7/25/24 16:33,UCAYALI,CORONEL PORTILLO,IPARIA,Negativo,Banano / Platano,-9.42675333609546,-74.36834296332162,18
7/25/24 16:33,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,Negativo,Banano / Platano,-8.813637158641336,-75.05687931393938,18
7/25/24 16:35,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,Negativo,Banano / Platano,-8.812018054085186,-75.05699728022151,18
7/25/24 16:27,PIURA,PAITA,LA HUACA,Negativo ,Banano,-4.908074986196704,-80.89343348714716,17
7/25/24 16:26,PIURA,PAITA,LA HUACA,Positivo ,Banano,-4.906085188140987,-80.89636515919483,17
7/25/24 16:25,PIURA,SULLANA,QUERECOTILLO,Positivo ,Banano,-4.84737171921164,-80.6509479154724,17
7/25/24 16:29,PIURA,SULLANA,SALITRAL,Positivo ,Banano,-4.8589702517011295,-80.65273669269988,17
7/25/24 16:28,PIURA,SULLANA,QUERECOTILLO,Positivo ,Banano,-4.857108516532789,-80.65633612921897,17
7/25/24 16:28,PIURA,SULLANA,MARCAVELICA,Positivo ,Banano,-4.845993572074252,-80.74537385115178,17
7/25/24 16:31,PIURA,SULLANA,MARCAVELICA,Positivo ,Banano,-4.887140546793308,-80.70871330310455,17
7/25/24 16:31,PIURA,SULLANA,SULLANA,Positivo ,Banano,-4.82837965631128,-80.6113039452909,17
7/25/24 16:30,PIURA,PAITA,LA HUACA,Negativo ,Banano,-4.900799933340327,-80.88406339508757,17
7/25/24 16:32,PIURA,SULLANA,MIGUEL CHECA,Negativo ,Banano,-4.898137983054643,-80.72258031913225,17
7/25/24 16:38,JUNIN,CHANCHAMAYO,PERENE,Negativo,Plátano,-10.894136666104297,-75.16461880033846,18
7/25/24 16:38,JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,Negativo,Plátano,-10.874367915031392,-75.19308256118173,18
